adjudication_id,repo,tool,category,severity_reported,cvss_reported,cve,cwe,file,line_start,message,first_run_id,seen_in_runs,seen_post_remediation,review_status,true_positive,confirmed_severity,remediation_required,exploitability_notes,reviewer,review_date,adjudication_notes,post_remediation_runs
ADJ-00081,external_dvna,trivy,iac,high,8.0,,,Dockerfile,,Image user should not be 'root',20260713T162614046352Z_C1_NonBlockingScanning_external_dvna_r1,15,false,pending,,,,,,,,0
ADJ-00082,external_dvna,trivy,iac,low,2.5,,,Dockerfile,,No HEALTHCHECK defined,20260713T162614046352Z_C1_NonBlockingScanning_external_dvna_r1,15,false,pending,,,,,,,,0
ADJ-00001,external_flask,trivy,sca,low,4.3,CVE-2026-27205,,examples/celery/requirements.txt,,flask: Flask: Information disclosure via improper caching of session data,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00002,external_flask,trivy,sca,medium,6.1,CVE-2024-22195,,examples/celery/requirements.txt,,jinja2: HTML attribute injection when passing user input as keys to xmlattr filter,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00003,external_flask,trivy,sca,medium,5.4,CVE-2024-34064,,examples/celery/requirements.txt,,jinja2: accepts keys containing non-attribute characters,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00004,external_flask,trivy,sca,medium,8.8,CVE-2024-56201,,examples/celery/requirements.txt,,jinja2: Jinja has a sandbox breakout through malicious filenames,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00005,external_flask,trivy,sca,medium,6.3,CVE-2024-56326,,examples/celery/requirements.txt,,jinja2: Jinja has a sandbox breakout through indirect reference to format method,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00006,external_flask,trivy,sca,medium,8.8,CVE-2025-27516,,examples/celery/requirements.txt,,jinja2: Jinja sandbox breakout through attr filter selecting format method,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00007,external_flask,trivy,sca,high,7.5,CVE-2024-34069,,examples/celery/requirements.txt,,python-werkzeug: user may execute code on a developer's machine,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00008,external_flask,trivy,sca,medium,7.5,CVE-2023-46136,,examples/celery/requirements.txt,,python-werkzeug: high resource consumption leading to denial of service,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00009,external_flask,trivy,sca,medium,5.3,CVE-2024-49766,,examples/celery/requirements.txt,,werkzeug: python-werkzeug: Werkzeug safe_join not safe on Windows,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00010,external_flask,trivy,sca,medium,7.5,CVE-2024-49767,,examples/celery/requirements.txt,,werkzeug: python-werkzeug: Werkzeug possible resource exhaustion when parsing file data in forms,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00011,external_flask,trivy,sca,medium,5.3,CVE-2025-66221,,examples/celery/requirements.txt,,Werkzeug: Werkzeug: Denial of service via Windows device names in path segments,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00012,external_flask,trivy,sca,medium,5.3,CVE-2026-21860,,examples/celery/requirements.txt,, Werkzeug safe_join() allows Windows special device names with compound extensions,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00013,external_flask,trivy,sca,medium,5.3,CVE-2026-27199,,examples/celery/requirements.txt,, Werkzeug safe_join() allows Windows special device names,20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,15,false,pending,,,,,,,,0
ADJ-00079,external_nodegoat,trivy,iac,low,2.5,,,Dockerfile,,No HEALTHCHECK defined,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00014,external_nodegoat,trivy,sca,high,7.5,CVE-2024-45590,,package-lock.json,,body-parser: Denial of Service Vulnerability in body-parser,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00015,external_nodegoat,trivy,sca,medium,7.5,CVE-2026-33750,,package-lock.json,,brace-expansion: brace-expansion: Denial of Service via zero step value in brace pattern,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00016,external_nodegoat,trivy,sca,low,3.1,CVE-2025-5889,,package-lock.json,,brace-expansion: juliangruber brace-expansion index.js expand redos,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00017,external_nodegoat,trivy,sca,high,7.5,CVE-2024-4068,,package-lock.json,,braces: fails to limit the number of characters it can handle,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00018,external_nodegoat,trivy,sca,critical,9.8,CVE-2020-7610,,package-lock.json,,bson: Deserialization of Untrusted Data could result in Code injection or Excessive CPU load,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00019,external_nodegoat,trivy,sca,medium,5.4,CVE-2019-2391,,package-lock.json,,Incorrect parsing of certain JSON input may result in js-bson not corr ...,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00020,external_nodegoat,trivy,sca,low,3.7,CVE-2024-47764,,package-lock.json,,"cookie: cookie accepts cookie name, path, and domain with out of bounds characters",20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00021,external_nodegoat,trivy,sca,high,7.5,CVE-2017-20165,,package-lock.json,,A vulnerability classified as problematic has been found in debug-js d ...,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00022,external_nodegoat,trivy,sca,low,5.3,CVE-2017-16137,,package-lock.json,,nodejs-debug: Regular expression Denial of Service,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00023,external_nodegoat,trivy,sca,high,7.5,CVE-2022-38900,,package-lock.json,,decode-uri-component: improper input validation resulting in DoS,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00024,external_nodegoat,trivy,sca,medium,6.1,CVE-2024-29041,,package-lock.json,,express: cause malformed URLs to be evaluated,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00025,external_nodegoat,trivy,sca,low,4.7,CVE-2024-43796,,package-lock.json,,express: Improper Input Handling in Express Redirects,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00026,external_nodegoat,trivy,sca,critical,9.8,CVE-2023-45311,,package-lock.json,,Code injection in fsevents,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00027,external_nodegoat,trivy,sca,medium,6.5,GHSA-c3m8-x3cg-qm2c,,package-lock.json,,Configuration Override in helmet-csp,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00028,external_nodegoat,trivy,sca,high,7.5,CVE-2021-3820,,package-lock.json,,inflect vulnerable to Inefficient Regular Expression Complexity,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00029,external_nodegoat,trivy,sca,high,9.8,CVE-2020-7788,,package-lock.json,,nodejs-ini: Prototype pollution via malicious INI file,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00030,external_nodegoat,trivy,sca,high,7.5,CVE-2019-20149,,package-lock.json,,nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00031,external_nodegoat,trivy,sca,high,7.5,CVE-2017-16114,,package-lock.json,,The marked module is vulnerable to a regular expression denial of serv ...,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00032,external_nodegoat,trivy,sca,high,7.5,CVE-2022-21680,,package-lock.json,,marked: regular expression block.def may lead Denial of Service,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00033,external_nodegoat,trivy,sca,high,7.5,CVE-2022-21681,,package-lock.json,,marked: regular expression inline.reflinkSearch may lead Denial of Service,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00034,external_nodegoat,trivy,sca,medium,6.1,CVE-2016-10531,,package-lock.json,,marked is an application that is meant to parse and compile markdown.  ...,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00035,external_nodegoat,trivy,sca,medium,6.1,CVE-2017-1000427,,package-lock.json,,marked version 0.3.6 and earlier is vulnerable to an XSS attack in the ...,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00036,external_nodegoat,trivy,sca,medium,7.5,CVE-2018-25110,,package-lock.json,,Marked prior to version 0.3.17 is vulnerable to a Regular Expression D ...,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00037,external_nodegoat,trivy,sca,medium,5.5,NSWG-ECO-101,,package-lock.json,,Sanitization bypass using HTML Entities,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00038,external_nodegoat,trivy,sca,medium,5.3,CVE-2024-4067,,package-lock.json,,micromatch: vulnerable to Regular Expression Denial of Service,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00039,external_nodegoat,trivy,sca,high,7.5,CVE-2022-3517,,package-lock.json,,nodejs-minimatch: ReDoS via the braceExpand function,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00040,external_nodegoat,trivy,sca,high,7.5,CVE-2026-26996,,package-lock.json,,minimatch: minimatch: Denial of Service via specially crafted glob patterns,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00041,external_nodegoat,trivy,sca,high,5.9,CVE-2026-27903,,package-lock.json,,minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00042,external_nodegoat,trivy,sca,high,6.5,CVE-2026-27904,,package-lock.json,,minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00043,external_nodegoat,trivy,sca,critical,9.8,CVE-2021-44906,,package-lock.json,,minimist: prototype pollution,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00044,external_nodegoat,trivy,sca,medium,5.6,CVE-2020-7598,,package-lock.json,,nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00045,external_nodegoat,trivy,sca,critical,9.8,CVE-2019-10746,,package-lock.json,,nodejs-mixin-deep: prototype pollution in function mixin-deep,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00046,external_nodegoat,trivy,sca,high,8.0,GHSA-mh5c-679w-hh4r,,package-lock.json,,Denial of Service in mongodb,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00047,external_nodegoat,trivy,sca,medium,5.3,CVE-2017-20162,,package-lock.json,,Vercel ms Inefficient Regular Expression Complexity vulnerability,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00048,external_nodegoat,trivy,sca,high,7.5,CVE-2022-21803,,package-lock.json,,nconf: Prototype pollution in memory store,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00049,external_nodegoat,trivy,sca,low,3.4,CVE-2025-7339,,package-lock.json,,on-headers: on-headers vulnerable to http response header manipulation,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00050,external_nodegoat,trivy,sca,high,5.3,CVE-2024-45296,,package-lock.json,,path-to-regexp: Backtracking regular expressions cause ReDoS,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00051,external_nodegoat,trivy,sca,high,5.3,CVE-2024-52798,,package-lock.json,,path-to-regexp: path-to-regexp Unpatched `path-to-regexp` ReDoS in 0.1.x,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00052,external_nodegoat,trivy,sca,high,5.3,CVE-2026-4867,,package-lock.json,,path-to-regexp: path-to-regexp: Denial of Service via catastrophic backtracking from malformed URL parameters,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00053,external_nodegoat,trivy,sca,high,7.5,CVE-2022-24999,,package-lock.json,,"express: ""qs"" prototype poisoning causes the hang of the node process",20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00054,external_nodegoat,trivy,sca,medium,7.5,CVE-2025-15284,,package-lock.json,,qs: qs: Denial of Service via improper input validation in array parsing,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00055,external_nodegoat,trivy,sca,high,7.5,CVE-2022-25883,,package-lock.json,,nodejs-semver: Regular expression denial of service,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00056,external_nodegoat,trivy,sca,low,4.7,CVE-2024-43799,,package-lock.json,,send: Code Execution Vulnerability in Send Library,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00057,external_nodegoat,trivy,sca,low,4.7,CVE-2024-43800,,package-lock.json,,serve-static: Improper Sanitization in serve-static,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00058,external_nodegoat,trivy,sca,critical,9.8,CVE-2019-10747,,package-lock.json,,nodejs-set-value: prototype pollution in function set-value,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00059,external_nodegoat,trivy,sca,high,9.8,CVE-2021-23440,,package-lock.json,,nodejs-set-value: type confusion allows bypass of CVE-2019-10747,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00060,external_nodegoat,trivy,sca,high,7.5,CVE-2023-25345,,package-lock.json,,Arbitrary local file read vulnerability during template rendering ,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00061,external_nodegoat,trivy,sca,high,8.1,CVE-2021-32803,,package-lock.json,,nodejs-tar: Insufficient symlink protection allowing arbitrary file creation and overwrite,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00062,external_nodegoat,trivy,sca,high,8.1,CVE-2021-32804,,package-lock.json,,nodejs-tar: Insufficient absolute path sanitization allowing arbitrary file creation and overwrite,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
ADJ-00063,external_nodegoat,trivy,sca,high,8.6,CVE-2021-37701,,package-lock.json,,nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite,20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,15,true,pending,,,,,,,,6
