run_id,campaign_id,configuration,repo,scenario,repetition,stage,finding_id,fingerprint,tool,category,severity,cvss,file,cwe,cve,ground_truth_id,is_ground_truth,is_false_positive,remediated,remediation_method
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-14234:django:requirements.txt,ac2763a42341573cc1bf21e0,trivy,sca,critical,9.8,requirements.txt,,CVE-2019-14234,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-19844:django:requirements.txt,e170639dc761835d2efff096,trivy,sca,critical,9.8,requirements.txt,,CVE-2019-19844,GT-SCA-DJANGO-001-full_alpha_multi_layer,True,False,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2020-7471:django:requirements.txt,f3892ecf3f05d43e22876bdf,trivy,sca,critical,9.8,requirements.txt,,CVE-2020-7471,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2022-28346:django:requirements.txt,66728e9286aec512663208a5,trivy,sca,critical,9.8,requirements.txt,,CVE-2022-28346,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2022-28347:django:requirements.txt,82747c79bb4b2f47c45c0eef,trivy,sca,critical,9.8,requirements.txt,,CVE-2022-28347,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2025-64459:django:requirements.txt,d44d375699dd562d497700e6,trivy,sca,critical,8.3,requirements.txt,,CVE-2025-64459,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-14232:django:requirements.txt,52cef71f907806008425ac46,trivy,sca,high,7.5,requirements.txt,,CVE-2019-14232,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-14233:django:requirements.txt,6e394cdbf2f0c012b9dbd834,trivy,sca,high,7.5,requirements.txt,,CVE-2019-14233,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-14235:django:requirements.txt,d73518ebe5081d25d323d582,trivy,sca,high,7.5,requirements.txt,,CVE-2019-14235,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-19118:django:requirements.txt,f8bffde9e60f6da3bdac8728,trivy,sca,high,6.5,requirements.txt,,CVE-2019-19118,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2020-13254:django:requirements.txt,43f1f8cbbf7bc7279626ac5c,trivy,sca,high,5.9,requirements.txt,,CVE-2020-13254,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2020-24583:django:requirements.txt,9cdb8b27cc400052ca4d639c,trivy,sca,high,7.5,requirements.txt,,CVE-2020-24583,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2020-9402:django:requirements.txt,f964b9d1ab95ee7d1823f2af,trivy,sca,high,8.8,requirements.txt,,CVE-2020-9402,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2021-31542:django:requirements.txt,898dfe95099c95ba12a633e1,trivy,sca,high,7.5,requirements.txt,,CVE-2021-31542,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2021-33571:django:requirements.txt,b76d10005dd58d67a3dc7a1f,trivy,sca,high,7.5,requirements.txt,,CVE-2021-33571,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2021-45115:django:requirements.txt,8208d58c23bc6530d67f8bbb,trivy,sca,high,7.5,requirements.txt,,CVE-2021-45115,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2021-45116:django:requirements.txt,fb6ccea195c78548c1b79850,trivy,sca,high,7.5,requirements.txt,,CVE-2021-45116,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2022-23833:django:requirements.txt,b909ea88dec077032305cf68,trivy,sca,high,7.5,requirements.txt,,CVE-2022-23833,,False,,False,none
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,initial,20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1:trivy:vuln:CVE-2022-36359:django:requirements.txt,45f73cd670138f6a3eaa2d9f,trivy,sca,high,8.8,requirements.txt,,CVE-2022-36359,,False,,False,none
