run_id,campaign_id,configuration,repo,scenario,repetition,finding_id,ground_truth_id,method,branch_created,pr_created,tests_returncode,human_review_required,status,time_to_patch_pr_seconds,time_to_green_patch_seconds
20260714T113811973194Z_C1_NonBlockingScanning_external_requests_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_requests,external_oss_security_pipeline,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T113904559495Z_C4_AgentsOnly_external_requests_r1,priority_validation_extended_external,C4_AgentsOnly,external_requests,external_oss_security_pipeline,1,,,local_workspace_patch,local-only-no-git-push,False,1,,no_remediation_event,0.0,0.0
20260714T113949098435Z_C5_SecFlowOps_external_requests_r1,priority_validation_extended_external,C5_SecFlowOps,external_requests,external_oss_security_pipeline,1,,,local_workspace_patch,local-only-no-git-push,False,1,,no_remediation_event,0.0,0.0
20260714T114043982644Z_C1_NonBlockingScanning_external_flask_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_flask,external_oss_security_pipeline,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T114113602325Z_C4_AgentsOnly_external_flask_r1,priority_validation_extended_external,C4_AgentsOnly,external_flask,external_oss_security_pipeline,1,20260714T114113602325Z_C4_AgentsOnly_external_flask_r1:trivy:vuln:CVE-2026-27205:flask:examples/celery/requirements.txt,,external_pip_dependency_update,local-only-no-git-push,False,1,True,patched_local_workspace,0.0,
20260714T114152490917Z_C5_SecFlowOps_external_flask_r1,priority_validation_extended_external,C5_SecFlowOps,external_flask,external_oss_security_pipeline,1,20260714T114152490917Z_C5_SecFlowOps_external_flask_r1:trivy:vuln:CVE-2026-27205:flask:examples/celery/requirements.txt,,external_pip_dependency_update,local-only-no-git-push,False,1,True,patched_local_workspace,0.0,
20260714T114250093309Z_C1_NonBlockingScanning_external_click_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_click,external_oss_security_pipeline,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260714T114314223968Z_C4_AgentsOnly_external_click_r1,priority_validation_extended_external,C4_AgentsOnly,external_click,external_oss_security_pipeline,1,,,local_workspace_patch,local-only-no-git-push,False,1,,no_remediation_event,0.0,0.0
20260714T114415024416Z_C5_SecFlowOps_external_click_r1,priority_validation_extended_external,C5_SecFlowOps,external_click,external_oss_security_pipeline,1,,,local_workspace_patch,local-only-no-git-push,False,1,,no_remediation_event,0.0,0.0
20260714T114509895554Z_C1_NonBlockingScanning_external_itsdangerous_r1,priority_validation_extended_external,C1_NonBlockingScanning,external_itsdangerous,external_oss_security_pipeline,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
