run_id,campaign_id,configuration,repo,scenario,repetition,finding_id,ground_truth_id,method,branch_created,pr_created,tests_returncode,human_review_required,status,time_to_patch_pr_seconds,time_to_green_patch_seconds
20260713T191055289131Z_C0_BuildOnly_full_alpha_clean_r1,full_protocol_20260713_rigorous,C0_BuildOnly,full_alpha_clean,clean,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191055599089Z_C1_NonBlockingScanning_full_alpha_clean_r1,full_protocol_20260713_rigorous,C1_NonBlockingScanning,full_alpha_clean,clean,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191116955022Z_C2_AutoScanning_full_alpha_clean_r1,full_protocol_20260713_rigorous,C2_AutoScanning,full_alpha_clean,clean,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191137795158Z_C3_PolicyOnly_full_alpha_clean_r1,full_protocol_20260713_rigorous,C3_PolicyOnly,full_alpha_clean,clean,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191158783886Z_C4_AgentsOnly_full_alpha_clean_r1,full_protocol_20260713_rigorous,C4_AgentsOnly,full_alpha_clean,clean,1,,,local_workspace_patch,local-only-no-git-push,False,0,,no_remediation_event,0.0,0.0
20260713T191240938697Z_C5_SecFlowOps_full_alpha_clean_r1,full_protocol_20260713_rigorous,C5_SecFlowOps,full_alpha_clean,clean,1,,,local_workspace_patch,local-only-no-git-push,False,0,,no_remediation_event,0.0,0.0
20260713T191322819997Z_C0_BuildOnly_full_alpha_vulnerable_dependency_r1,full_protocol_20260713_rigorous,C0_BuildOnly,full_alpha_vulnerable_dependency,vulnerable_dependency,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191323124177Z_C1_NonBlockingScanning_full_alpha_vulnerable_dependency_r1,full_protocol_20260713_rigorous,C1_NonBlockingScanning,full_alpha_vulnerable_dependency,vulnerable_dependency,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191343879006Z_C2_AutoScanning_full_alpha_vulnerable_dependency_r1,full_protocol_20260713_rigorous,C2_AutoScanning,full_alpha_vulnerable_dependency,vulnerable_dependency,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191404480245Z_C3_PolicyOnly_full_alpha_vulnerable_dependency_r1,full_protocol_20260713_rigorous,C3_PolicyOnly,full_alpha_vulnerable_dependency,vulnerable_dependency,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191425364909Z_C4_AgentsOnly_full_alpha_vulnerable_dependency_r1,full_protocol_20260713_rigorous,C4_AgentsOnly,full_alpha_vulnerable_dependency,vulnerable_dependency,1,20260713T191425364909Z_C4_AgentsOnly_full_alpha_vulnerable_dependency_r1:trivy:vuln:CVE-2019-14234:django:requirements.txt,,dependency_update,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T191507721044Z_C5_SecFlowOps_full_alpha_vulnerable_dependency_r1,full_protocol_20260713_rigorous,C5_SecFlowOps,full_alpha_vulnerable_dependency,vulnerable_dependency,1,20260713T191507721044Z_C5_SecFlowOps_full_alpha_vulnerable_dependency_r1:trivy:vuln:CVE-2019-14234:django:requirements.txt,,dependency_update,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T191552802814Z_C0_BuildOnly_full_alpha_fake_secret_r1,full_protocol_20260713_rigorous,C0_BuildOnly,full_alpha_fake_secret,fake_secret,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191553098234Z_C1_NonBlockingScanning_full_alpha_fake_secret_r1,full_protocol_20260713_rigorous,C1_NonBlockingScanning,full_alpha_fake_secret,fake_secret,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191615118967Z_C2_AutoScanning_full_alpha_fake_secret_r1,full_protocol_20260713_rigorous,C2_AutoScanning,full_alpha_fake_secret,fake_secret,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191635934782Z_C3_PolicyOnly_full_alpha_fake_secret_r1,full_protocol_20260713_rigorous,C3_PolicyOnly,full_alpha_fake_secret,fake_secret,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T191656701739Z_C4_AgentsOnly_full_alpha_fake_secret_r1,full_protocol_20260713_rigorous,C4_AgentsOnly,full_alpha_fake_secret,fake_secret,1,20260713T191656701739Z_C4_AgentsOnly_full_alpha_fake_secret_r1:gitleaks:secflowops-fake-aws-access-key:C:/Users/User/Downloads/Compressed/DevSecOps8Abdoul/SecFlowOps/data/raw/20260713T191656701739Z_C4_AgentsOnly_full_alpha_fake_secret_r1/workspace/.env.test:2,GT-SECRET-AWS-001-full_alpha_fake_secret,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T191738275526Z_C5_SecFlowOps_full_alpha_fake_secret_r1,full_protocol_20260713_rigorous,C5_SecFlowOps,full_alpha_fake_secret,fake_secret,1,20260713T191738275526Z_C5_SecFlowOps_full_alpha_fake_secret_r1:gitleaks:secflowops-fake-aws-access-key:C:/Users/User/Downloads/Compressed/DevSecOps8Abdoul/SecFlowOps/data/raw/20260713T191738275526Z_C5_SecFlowOps_full_alpha_fake_secret_r1/workspace/.env.test:2,GT-SECRET-AWS-001-full_alpha_fake_secret,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T191820524079Z_C0_BuildOnly_full_alpha_sast_reflected_xss_r1,full_protocol_20260713_rigorous,C0_BuildOnly,full_alpha_sast_reflected_xss,sast_reflected_xss,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
