run_id,configuration,repo,scenario,repetition,campaign_id,pipeline_success,pipeline_time_seconds,scanner_time_seconds,tool_failure_count,finding_count_initial,finding_count_residual,residual_critical,residual_high,residual_secret,policy_engine,policy_allow,policy_deny_count,tp_ground_truth,fp_unknown_or_false,fn_ground_truth,precision,recall,false_positive_rate,false_negative_rate,coverage,auto_remediation_rate,patch_success_rate,human_escalation_rate,mttd_seconds,mttr_seconds
20260713T133321231664Z_C0_BuildOnly_controlled_api_s_r1,C0_BuildOnly,controlled_api_s,controlled_multi_layer,1,expanded_20260713_cached_r3,True,0.20197699998971075,0.0,0,0,0,0,0,0,not_applicable,True,0,0,0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T133321489630Z_C1_NonBlockingScanning_controlled_api_s_r1,C1_NonBlockingScanning,controlled_api_s,controlled_multi_layer,1,expanded_20260713_cached_r3,True,7.984144399990328,7.761743200069759,0,64,64,7,21,1,not_applicable,True,0,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.0,0.0,0.0,7.979615,0.0
20260713T133329523052Z_C2_AutoScanning_controlled_api_s_r1,C2_AutoScanning,controlled_api_s,controlled_multi_layer,1,expanded_20260713_cached_r3,True,7.983828000025824,7.711487599997781,0,64,64,7,21,1,not_applicable,True,0,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.0,0.0,0.0,7.981028,0.0
20260713T133337566384Z_C3_PolicyOnly_controlled_api_s_r1,C3_PolicyOnly,controlled_api_s,controlled_multi_layer,1,expanded_20260713_cached_r3,False,8.557851899997331,8.16730380000081,0,64,64,7,21,1,opa,False,4,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.0,0.0,0.0,8.41941,0.0
20260713T133346179524Z_C4_AgentsOnly_controlled_api_s_r1,C4_AgentsOnly,controlled_api_s,controlled_multi_layer,1,expanded_20260713_cached_r3,True,16.403757599997334,15.6825740999775,0,64,16,0,2,0,not_applicable,True,0,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.078125,1.0,1.0,7.903578,0.312486
20260713T133402638074Z_C5_SecFlowOps_controlled_api_s_r1,C5_SecFlowOps,controlled_api_s,controlled_multi_layer,1,expanded_20260713_cached_r3,True,17.043323900026735,16.319368800031953,0,64,16,0,2,0,opa,True,0,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.078125,1.0,1.0,8.32129,0.299841
20260713T133419737122Z_C0_BuildOnly_controlled_api_m_r1,C0_BuildOnly,controlled_api_m,controlled_multi_layer,1,expanded_20260713_cached_r3,True,0.19184200000017881,0.0,0,0,0,0,0,0,not_applicable,True,0,0,0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T133419998634Z_C1_NonBlockingScanning_controlled_api_m_r1,C1_NonBlockingScanning,controlled_api_m,controlled_multi_layer,1,expanded_20260713_cached_r3,True,7.971431899990421,7.707218100025784,0,64,64,7,21,1,not_applicable,True,0,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.0,0.0,0.0,7.969006,0.0
20260713T133428050965Z_C2_AutoScanning_controlled_api_m_r1,C2_AutoScanning,controlled_api_m,controlled_multi_layer,1,expanded_20260713_cached_r3,True,8.904143300023861,8.541602000012062,0,64,64,7,21,1,not_applicable,True,0,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.0,0.0,0.0,8.901905,0.0
20260713T133437027699Z_C3_PolicyOnly_controlled_api_m_r1,C3_PolicyOnly,controlled_api_m,controlled_multi_layer,1,expanded_20260713_cached_r3,False,8.431630000006407,8.076154600013979,0,64,64,7,21,1,opa,False,4,6,39,0,0.13333333333333333,1.0,0.8666666666666667,0.0,1.0,0.0,0.0,0.0,8.336096,0.0
