run_id,configuration,repo,scenario,repetition,campaign_id,pipeline_success,pipeline_time_seconds,scanner_time_seconds,tool_failure_count,finding_count_initial,finding_count_residual,residual_critical,residual_high,residual_secret,policy_engine,policy_allow,policy_deny_count,tp_ground_truth,fp_unknown_or_false,fn_ground_truth,precision,recall,false_positive_rate,false_negative_rate,coverage,auto_remediation_rate,patch_success_rate,human_escalation_rate,mttd_seconds,mttr_seconds
20260713T161951161040Z_C1_NonBlockingScanning_external_requests_r1,C1_NonBlockingScanning,external_requests,external_open_source,1,external_20260713_r3_baselines,True,13.357790000038221,13.257722300011665,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162004757521Z_C2_AutoScanning_external_requests_r1,C2_AutoScanning,external_requests,external_open_source,1,external_20260713_r3_baselines,True,12.745676100021228,12.637886300042737,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162017742550Z_C3_PolicyOnly_external_requests_r1,C3_PolicyOnly,external_requests,external_open_source,1,external_20260713_r3_baselines,True,12.125924200052395,11.925989699957427,0,0,0,0,0,0,opa,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162030062045Z_C4_AgentsOnly_external_requests_r1,C4_AgentsOnly,external_requests,external_open_source,1,external_20260713_r3_baselines,True,25.714519200031646,24.526299999910407,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162055975876Z_C5_SecFlowOps_external_requests_r1,C5_SecFlowOps,external_requests,external_open_source,1,external_20260713_r3_baselines,True,25.75649559998419,24.470917799917515,0,0,0,0,0,0,opa,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,C1_NonBlockingScanning,external_flask,external_open_source,1,external_20260713_r3_baselines,True,14.81321970000863,14.687311300018337,0,13,13,0,1,0,not_applicable,True,0,0,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.810781,0.0
20260713T162137277940Z_C2_AutoScanning_external_flask_r1,C2_AutoScanning,external_flask,external_open_source,1,external_20260713_r3_baselines,True,13.3343942000065,13.219305099977646,0,13,13,0,1,0,not_applicable,True,0,0,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.331818,0.0
20260713T162150960557Z_C3_PolicyOnly_external_flask_r1,C3_PolicyOnly,external_flask,external_open_source,1,external_20260713_r3_baselines,True,13.364226699981373,13.119253899960313,0,13,13,0,1,0,opa,True,0,0,13,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.232735,0.0
20260713T162204642075Z_C4_AgentsOnly_external_flask_r1,C4_AgentsOnly,external_flask,external_open_source,1,external_20260713_r3_baselines,True,25.78174330003094,24.82941570004914,0,13,0,0,0,0,not_applicable,True,0,0,13,0,0.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.0,1.0,13.180529,0.0
20260713T162230777913Z_C5_SecFlowOps_external_flask_r1,C5_SecFlowOps,external_flask,external_open_source,1,external_20260713_r3_baselines,True,28.15164489997551,27.07071179995546,0,13,0,0,0,0,opa,True,0,0,13,0,0.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.0,1.0,14.587203,0.0
