run_id,campaign_id,configuration,repo,repetition,pipeline_success,initial_findings_total,initial_findings_reviewed,initial_reviewed_true_positive,initial_reviewed_false_positive,initial_unreviewed_findings,residual_findings_total,residual_findings_reviewed,residual_reviewed_true_positive,residual_reviewed_false_positive,residual_unreviewed_findings,resolved_reviewed_true_positive,reviewed_resolution_rate,initial_adjudicated_precision,residual_adjudicated_precision,residual_reviewed_critical,residual_reviewed_high,residual_reviewed_secret,external_recall_assessable
20260713T161951161040Z_C1_NonBlockingScanning_external_requests_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_requests,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162004757521Z_C2_AutoScanning_external_requests_r1,external_20260713_r3_baselines,C2_AutoScanning,external_requests,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162017742550Z_C3_PolicyOnly_external_requests_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_requests,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162030062045Z_C4_AgentsOnly_external_requests_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_requests,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162055975876Z_C5_SecFlowOps_external_requests_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_requests,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162121943358Z_C1_NonBlockingScanning_external_flask_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_flask,1,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162137277940Z_C2_AutoScanning_external_flask_r1,external_20260713_r3_baselines,C2_AutoScanning,external_flask,1,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162150960557Z_C3_PolicyOnly_external_flask_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_flask,1,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162204642075Z_C4_AgentsOnly_external_flask_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_flask,1,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
20260713T162230777913Z_C5_SecFlowOps_external_flask_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_flask,1,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
20260713T162259292118Z_C1_NonBlockingScanning_external_express_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_express,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162313746410Z_C2_AutoScanning_external_express_r1,external_20260713_r3_baselines,C2_AutoScanning,external_express,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162327001680Z_C3_PolicyOnly_external_express_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_express,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162341242272Z_C4_AgentsOnly_external_express_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_express,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162409408863Z_C5_SecFlowOps_external_express_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_express,1,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_nodegoat,1,True,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T162451422417Z_C2_AutoScanning_external_nodegoat_r1,external_20260713_r3_baselines,C2_AutoScanning,external_nodegoat,1,True,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T162506014614Z_C3_PolicyOnly_external_nodegoat_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_nodegoat,1,False,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T162520436951Z_C4_AgentsOnly_external_nodegoat_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_nodegoat,1,True,78,78,78,0,0,77,77,77,0,0,1,0.01282051282051282,1.0,1.0,10,39,0,false
20260713T162546967795Z_C5_SecFlowOps_external_nodegoat_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_nodegoat,1,False,78,78,78,0,0,77,77,77,0,0,1,0.01282051282051282,1.0,1.0,10,39,0,false
20260713T162614046352Z_C1_NonBlockingScanning_external_dvna_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_dvna,1,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162628011989Z_C2_AutoScanning_external_dvna_r1,external_20260713_r3_baselines,C2_AutoScanning,external_dvna,1,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162641169819Z_C3_PolicyOnly_external_dvna_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_dvna,1,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162655088487Z_C4_AgentsOnly_external_dvna_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_dvna,1,True,2,2,2,0,0,0,0,0,0,0,2,1.0,1.0,,0,0,0,false
20260713T162720978530Z_C5_SecFlowOps_external_dvna_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_dvna,1,True,2,2,2,0,0,0,0,0,0,0,2,1.0,1.0,,0,0,0,false
20260713T162747245557Z_C1_NonBlockingScanning_external_requests_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162800408241Z_C2_AutoScanning_external_requests_r2,external_20260713_r3_baselines,C2_AutoScanning,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162813846033Z_C3_PolicyOnly_external_requests_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162828587173Z_C4_AgentsOnly_external_requests_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162857043089Z_C5_SecFlowOps_external_requests_r2,external_20260713_r3_baselines,C5_SecFlowOps,external_requests,2,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T162926443102Z_C1_NonBlockingScanning_external_flask_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_flask,2,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162942168386Z_C2_AutoScanning_external_flask_r2,external_20260713_r3_baselines,C2_AutoScanning,external_flask,2,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T162958228266Z_C3_PolicyOnly_external_flask_r2,external_20260713_r3_baselines,C3_PolicyOnly,external_flask,2,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163012960546Z_C4_AgentsOnly_external_flask_r2,external_20260713_r3_baselines,C4_AgentsOnly,external_flask,2,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
