run_id,configuration,repo,scenario,repetition,campaign_id,pipeline_success,pipeline_time_seconds,scanner_time_seconds,tool_failure_count,finding_count_initial,finding_count_residual,residual_critical,residual_high,residual_secret,policy_engine,policy_allow,policy_deny_count,tp_ground_truth,fp_unknown_or_false,fn_ground_truth,precision,recall,false_positive_rate,false_negative_rate,coverage,auto_remediation_rate,patch_success_rate,human_escalation_rate,mttd_seconds,mttr_seconds
20260713T191055289131Z_C0_BuildOnly_full_alpha_clean_r1,C0_BuildOnly,full_alpha_clean,clean,1,full_protocol_20260713_rigorous,True,0.22990420000860468,0.0,0,0,0,0,0,0,not_applicable,True,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T191055599089Z_C1_NonBlockingScanning_full_alpha_clean_r1,C1_NonBlockingScanning,full_alpha_clean,clean,1,full_protocol_20260713_rigorous,True,21.286335100012366,21.009996000037063,0,16,16,0,2,0,not_applicable,True,0,0,16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.284617,0.0
20260713T191116955022Z_C2_AutoScanning_full_alpha_clean_r1,C2_AutoScanning,full_alpha_clean,clean,1,full_protocol_20260713_rigorous,True,20.784435699984897,20.480162699939683,0,16,16,0,2,0,not_applicable,True,0,0,16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.782231,0.0
20260713T191137795158Z_C3_PolicyOnly_full_alpha_clean_r1,C3_PolicyOnly,full_alpha_clean,clean,1,full_protocol_20260713_rigorous,True,20.93459190003341,20.54484849999426,0,16,16,0,2,0,opa,True,0,0,16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.80426,0.0
20260713T191158783886Z_C4_AgentsOnly_full_alpha_clean_r1,C4_AgentsOnly,full_alpha_clean,clean,1,full_protocol_20260713_rigorous,True,42.10104679997312,41.48836620012298,0,16,16,0,2,0,not_applicable,True,0,0,16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.259569,0.0
20260713T191240938697Z_C5_SecFlowOps_full_alpha_clean_r1,C5_SecFlowOps,full_alpha_clean,clean,1,full_protocol_20260713_rigorous,True,41.80798629997298,40.95426420000149,0,16,16,0,2,0,opa,True,0,0,16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.991689,0.0
20260713T191322819997Z_C0_BuildOnly_full_alpha_vulnerable_dependency_r1,C0_BuildOnly,full_alpha_vulnerable_dependency,vulnerable_dependency,1,full_protocol_20260713_rigorous,True,0.2407991000218317,0.0,0,0,0,0,0,0,not_applicable,True,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T191323124177Z_C1_NonBlockingScanning_full_alpha_vulnerable_dependency_r1,C1_NonBlockingScanning,full_alpha_vulnerable_dependency,vulnerable_dependency,1,full_protocol_20260713_rigorous,True,20.701337400008924,20.4134553000913,0,56,56,6,18,0,not_applicable,True,0,1,55,0,0.017857142857142856,1.0,0.9821428571428571,0.0,1.0,0.0,0.0,0.0,20.698185,0.0
20260713T191343879006Z_C2_AutoScanning_full_alpha_vulnerable_dependency_r1,C2_AutoScanning,full_alpha_vulnerable_dependency,vulnerable_dependency,1,full_protocol_20260713_rigorous,True,20.520972300029825,20.24489310005447,0,56,56,6,18,0,not_applicable,True,0,1,55,0,0.017857142857142856,1.0,0.9821428571428571,0.0,1.0,0.0,0.0,0.0,20.518321,0.0
20260713T191404480245Z_C3_PolicyOnly_full_alpha_vulnerable_dependency_r1,C3_PolicyOnly,full_alpha_vulnerable_dependency,vulnerable_dependency,1,full_protocol_20260713_rigorous,False,20.832098100043368,20.443095099995844,0,56,56,6,18,0,opa,False,3,1,55,0,0.017857142857142856,1.0,0.9821428571428571,0.0,1.0,0.0,0.0,0.0,20.719567,0.0
