run_id,configuration,repo,scenario,repetition,campaign_id,pipeline_success,pipeline_time_seconds,scanner_time_seconds,tool_failure_count,finding_count_initial,finding_count_residual,residual_critical,residual_high,residual_secret,policy_engine,policy_allow,policy_deny_count,tp_ground_truth,fp_unknown_or_false,fn_ground_truth,precision,recall,false_positive_rate,false_negative_rate,coverage,auto_remediation_rate,patch_success_rate,human_escalation_rate,mttd_seconds,mttr_seconds
20260713T180249161659Z_C1_NonBlockingScanning_external_nodegoat_r1,C1_NonBlockingScanning,external_nodegoat,external_open_source_npm_remediation,1,nodegoat_npm_20260713_r3,True,18.68440439994447,18.562740200024564,0,78,78,10,40,1,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.68112,0.0
20260713T180308072748Z_C2_AutoScanning_external_nodegoat_r1,C2_AutoScanning,external_nodegoat,external_open_source_npm_remediation,1,nodegoat_npm_20260713_r3,True,17.581677999987733,17.46453980001388,0,78,78,10,40,1,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.578272,0.0
20260713T180325873593Z_C3_PolicyOnly_external_nodegoat_r1,C3_PolicyOnly,external_nodegoat,external_open_source_npm_remediation,1,nodegoat_npm_20260713_r3,False,18.215972499980126,17.98828260001028,0,78,78,10,40,1,opa,False,4,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.090954,0.0
20260713T180344282489Z_C4_AgentsOnly_external_nodegoat_r1,C4_AgentsOnly,external_nodegoat,external_open_source_npm_remediation,1,nodegoat_npm_20260713_r3,True,92.03380059998017,44.40918849996524,0,78,31,3,12,0,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.02564102564102564,1.0,1.0,18.023396,47.440041
20260713T180516555468Z_C5_SecFlowOps_external_nodegoat_r1,C5_SecFlowOps,external_nodegoat,external_open_source_npm_remediation,1,nodegoat_npm_20260713_r3,False,78.67813220003154,46.383578500011936,0,78,31,3,12,0,opa,False,3,0,78,0,0.0,0.0,1.0,0.0,0.0,0.02564102564102564,1.0,1.0,18.56784,31.934435
20260713T180635540021Z_C1_NonBlockingScanning_external_nodegoat_r2,C1_NonBlockingScanning,external_nodegoat,external_open_source_npm_remediation,2,nodegoat_npm_20260713_r3,True,19.420716299966443,19.28697849996388,0,78,78,10,40,1,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.417413,0.0
20260713T180655173465Z_C2_AutoScanning_external_nodegoat_r2,C2_AutoScanning,external_nodegoat,external_open_source_npm_remediation,2,nodegoat_npm_20260713_r3,True,19.629869299998973,19.51555810001446,0,78,78,10,40,1,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.627408,0.0
20260713T180715016236Z_C3_PolicyOnly_external_nodegoat_r2,C3_PolicyOnly,external_nodegoat,external_open_source_npm_remediation,2,nodegoat_npm_20260713_r3,False,33.06814690004103,31.407881200080737,0,78,78,10,40,1,opa,False,4,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.554723,0.0
20260713T180748267956Z_C4_AgentsOnly_external_nodegoat_r2,C4_AgentsOnly,external_nodegoat,external_open_source_npm_remediation,2,nodegoat_npm_20260713_r3,True,89.94202119996771,54.37527489993954,0,78,31,3,12,0,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.02564102564102564,1.0,1.0,23.493451,35.32326
20260713T180918466697Z_C5_SecFlowOps_external_nodegoat_r2,C5_SecFlowOps,external_nodegoat,external_open_source_npm_remediation,2,nodegoat_npm_20260713_r3,False,82.34700700000394,49.38971879996825,0,78,31,3,12,0,opa,False,3,0,78,0,0.0,0.0,1.0,0.0,0.0,0.02564102564102564,1.0,1.0,22.052201,31.423853
20260713T181041042350Z_C1_NonBlockingScanning_external_nodegoat_r3,C1_NonBlockingScanning,external_nodegoat,external_open_source_npm_remediation,3,nodegoat_npm_20260713_r3,True,20.754603100009263,20.634800200001337,0,78,78,10,40,1,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.75124,0.0
20260713T181102009433Z_C2_AutoScanning_external_nodegoat_r3,C2_AutoScanning,external_nodegoat,external_open_source_npm_remediation,3,nodegoat_npm_20260713_r3,True,20.588849199994,20.44194069999503,0,78,78,10,40,1,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.584046,0.0
20260713T181122815909Z_C3_PolicyOnly_external_nodegoat_r3,C3_PolicyOnly,external_nodegoat,external_open_source_npm_remediation,3,nodegoat_npm_20260713_r3,False,21.464554800011683,21.205174300004728,0,78,78,10,40,1,opa,False,4,0,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.325716,0.0
20260713T181144520253Z_C4_AgentsOnly_external_nodegoat_r3,C4_AgentsOnly,external_nodegoat,external_open_source_npm_remediation,3,nodegoat_npm_20260713_r3,True,105.01012440002523,61.02643240004545,0,78,31,3,12,0,not_applicable,True,0,0,78,0,0.0,0.0,1.0,0.0,0.0,0.02564102564102564,1.0,1.0,26.343083,43.792508
20260713T181329754893Z_C5_SecFlowOps_external_nodegoat_r3,C5_SecFlowOps,external_nodegoat,external_open_source_npm_remediation,3,nodegoat_npm_20260713_r3,False,127.88210579997394,55.32419239997398,0,78,31,3,12,0,opa,False,3,0,78,0,0.0,0.0,1.0,0.0,0.0,0.02564102564102564,1.0,1.0,24.550601,70.975145
