configuration,repo_id,scenario,planned_repetitions,primary_metrics
C0_BuildOnly,controlled_api_s,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C1_NonBlockingScanning,controlled_api_s,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C2_AutoScanning,controlled_api_s,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C3_PolicyOnly,controlled_api_s,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C4_AgentsOnly,controlled_api_s,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C5_SecFlowOps,controlled_api_s,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C0_BuildOnly,controlled_api_m,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C1_NonBlockingScanning,controlled_api_m,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C2_AutoScanning,controlled_api_m,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C3_PolicyOnly,controlled_api_m,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C4_AgentsOnly,controlled_api_m,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C5_SecFlowOps,controlled_api_m,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C0_BuildOnly,controlled_api_l,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C1_NonBlockingScanning,controlled_api_l,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C2_AutoScanning,controlled_api_l,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C3_PolicyOnly,controlled_api_l,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C4_AgentsOnly,controlled_api_l,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C5_SecFlowOps,controlled_api_l,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C0_BuildOnly,controlled_api_xl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C1_NonBlockingScanning,controlled_api_xl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C2_AutoScanning,controlled_api_xl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C3_PolicyOnly,controlled_api_xl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C4_AgentsOnly,controlled_api_xl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C5_SecFlowOps,controlled_api_xl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C0_BuildOnly,controlled_api_xxl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C1_NonBlockingScanning,controlled_api_xxl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C2_AutoScanning,controlled_api_xxl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C3_PolicyOnly,controlled_api_xxl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C4_AgentsOnly,controlled_api_xxl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
C5_SecFlowOps,controlled_api_xxl,controlled_multi_layer,3,pipeline_time_seconds;scanner_time_seconds;recall;precision;residual_critical;residual_high;mttr_seconds
