configuration,repo_id,scenario,planned_repetitions,primary_metrics
C1_NonBlockingScanning,external_requests,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C2_AutoScanning,external_requests,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C3_PolicyOnly,external_requests,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C4_AgentsOnly,external_requests,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C5_SecFlowOps,external_requests,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C1_NonBlockingScanning,external_flask,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C2_AutoScanning,external_flask,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C3_PolicyOnly,external_flask,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C4_AgentsOnly,external_flask,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C5_SecFlowOps,external_flask,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C1_NonBlockingScanning,external_express,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C2_AutoScanning,external_express,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C3_PolicyOnly,external_express,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C4_AgentsOnly,external_express,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C5_SecFlowOps,external_express,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C1_NonBlockingScanning,external_nodegoat,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C2_AutoScanning,external_nodegoat,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C3_PolicyOnly,external_nodegoat,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C4_AgentsOnly,external_nodegoat,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C5_SecFlowOps,external_nodegoat,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C1_NonBlockingScanning,external_dvna,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C2_AutoScanning,external_dvna,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C3_PolicyOnly,external_dvna,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C4_AgentsOnly,external_dvna,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
C5_SecFlowOps,external_dvna,external_open_source,3,pipeline_time_seconds;scanner_time_seconds;finding_count_initial;residual_critical;residual_high;residual_secret;policy_allow
