repo_id,origin_type,stack,size_class,scenario,family,file_count,loc
full_alpha_clean,controlled_full_protocol,python,small,clean,alpha,8,
full_alpha_vulnerable_dependency,controlled_full_protocol,python,small,vulnerable_dependency,alpha,8,
full_alpha_fake_secret,controlled_full_protocol,python,small,fake_secret,alpha,8,
full_alpha_sast_reflected_xss,controlled_full_protocol,python,small,sast_reflected_xss,alpha,8,
full_alpha_sast_sql_injection,controlled_full_protocol,python,small,sast_sql_injection,alpha,8,
full_alpha_docker_misconfiguration,controlled_full_protocol,python,small,docker_misconfiguration,alpha,8,
full_alpha_k8s_misconfiguration,controlled_full_protocol,python,small,k8s_misconfiguration,alpha,8,
full_alpha_multi_layer,controlled_full_protocol,python,small,multi_layer,alpha,8,
full_beta_clean,controlled_full_protocol,python,small,clean,beta,8,
full_beta_vulnerable_dependency,controlled_full_protocol,python,small,vulnerable_dependency,beta,8,
full_beta_fake_secret,controlled_full_protocol,python,small,fake_secret,beta,8,
full_beta_sast_reflected_xss,controlled_full_protocol,python,small,sast_reflected_xss,beta,8,
full_beta_sast_sql_injection,controlled_full_protocol,python,small,sast_sql_injection,beta,8,
full_beta_docker_misconfiguration,controlled_full_protocol,python,small,docker_misconfiguration,beta,8,
full_beta_k8s_misconfiguration,controlled_full_protocol,python,small,k8s_misconfiguration,beta,8,
full_beta_multi_layer,controlled_full_protocol,python,small,multi_layer,beta,8,
full_gamma_clean,controlled_full_protocol,python,small,clean,gamma,8,
full_gamma_vulnerable_dependency,controlled_full_protocol,python,small,vulnerable_dependency,gamma,8,
full_gamma_fake_secret,controlled_full_protocol,python,small,fake_secret,gamma,8,
full_gamma_sast_reflected_xss,controlled_full_protocol,python,small,sast_reflected_xss,gamma,8,
full_gamma_sast_sql_injection,controlled_full_protocol,python,small,sast_sql_injection,gamma,8,
full_gamma_docker_misconfiguration,controlled_full_protocol,python,small,docker_misconfiguration,gamma,8,
full_gamma_k8s_misconfiguration,controlled_full_protocol,python,small,k8s_misconfiguration,gamma,8,
full_gamma_multi_layer,controlled_full_protocol,python,small,multi_layer,gamma,8,
