run_id,configuration,repo,scenario,repetition,status,metadata_path,notes
20260712T105005764705Z_C0_BuildOnly_sample_api_r1,C0_BuildOnly,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105005764705Z_C0_BuildOnly_sample_api_r1\metadata.json,local
20260712T105006098641Z_C5_SecFlowOps_sample_api_r1,C5_SecFlowOps,sample_api,controlled_multi_layer,1,failed,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105006098641Z_C5_SecFlowOps_sample_api_r1\metadata.json,local
20260712T105140353090Z_C5_SecFlowOps_sample_api_r1,C5_SecFlowOps,sample_api,controlled_multi_layer,1,failed,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105140353090Z_C5_SecFlowOps_sample_api_r1\metadata.json,local
20260712T105608616367Z_C5_SecFlowOps_sample_api_r1,C5_SecFlowOps,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105608616367Z_C5_SecFlowOps_sample_api_r1\metadata.json,local
20260712T105736678831Z_C5_SecFlowOps_sample_api_r1,C5_SecFlowOps,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105736678831Z_C5_SecFlowOps_sample_api_r1\metadata.json,local
20260712T105822696702Z_C0_BuildOnly_sample_api_r1,C0_BuildOnly,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105822696702Z_C0_BuildOnly_sample_api_r1\metadata.json,local
20260712T105823009061Z_C1_NonBlockingScanning_sample_api_r1,C1_NonBlockingScanning,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105823009061Z_C1_NonBlockingScanning_sample_api_r1\metadata.json,local
20260712T105830533215Z_C2_AutoScanning_sample_api_r1,C2_AutoScanning,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105830533215Z_C2_AutoScanning_sample_api_r1\metadata.json,local
20260712T105837975118Z_C3_PolicyOnly_sample_api_r1,C3_PolicyOnly,sample_api,controlled_multi_layer,1,failed,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105837975118Z_C3_PolicyOnly_sample_api_r1\metadata.json,local
20260712T105845702159Z_C4_AgentsOnly_sample_api_r1,C4_AgentsOnly,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105845702159Z_C4_AgentsOnly_sample_api_r1\metadata.json,local
20260712T105901209480Z_C5_SecFlowOps_sample_api_r1,C5_SecFlowOps,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T105901209480Z_C5_SecFlowOps_sample_api_r1\metadata.json,local
20260712T110434042575Z_C0_BuildOnly_sample_api_r1,C0_BuildOnly,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T110434042575Z_C0_BuildOnly_sample_api_r1\metadata.json,local
20260712T110434295031Z_C1_NonBlockingScanning_sample_api_r1,C1_NonBlockingScanning,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T110434295031Z_C1_NonBlockingScanning_sample_api_r1\metadata.json,local
20260712T110442254478Z_C2_AutoScanning_sample_api_r1,C2_AutoScanning,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T110442254478Z_C2_AutoScanning_sample_api_r1\metadata.json,local
20260712T110450151373Z_C3_PolicyOnly_sample_api_r1,C3_PolicyOnly,sample_api,controlled_multi_layer,1,failed,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T110450151373Z_C3_PolicyOnly_sample_api_r1\metadata.json,local
20260712T110457660830Z_C4_AgentsOnly_sample_api_r1,C4_AgentsOnly,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T110457660830Z_C4_AgentsOnly_sample_api_r1\metadata.json,local
20260712T110512688557Z_C5_SecFlowOps_sample_api_r1,C5_SecFlowOps,sample_api,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260712T110512688557Z_C5_SecFlowOps_sample_api_r1\metadata.json,local
20260713T132025493520Z_C5_SecFlowOps_controlled_api_s_r1,C5_SecFlowOps,controlled_api_s,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T132025493520Z_C5_SecFlowOps_controlled_api_s_r1\metadata.json,local
20260713T133214380335Z_C5_SecFlowOps_controlled_api_s_r1,C5_SecFlowOps,controlled_api_s,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T133214380335Z_C5_SecFlowOps_controlled_api_s_r1\metadata.json,local
20260713T133321231664Z_C0_BuildOnly_controlled_api_s_r1,C0_BuildOnly,controlled_api_s,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T133321231664Z_C0_BuildOnly_controlled_api_s_r1\metadata.json,local
20260713T133321489630Z_C1_NonBlockingScanning_controlled_api_s_r1,C1_NonBlockingScanning,controlled_api_s,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T133321489630Z_C1_NonBlockingScanning_controlled_api_s_r1\metadata.json,local
20260713T133329523052Z_C2_AutoScanning_controlled_api_s_r1,C2_AutoScanning,controlled_api_s,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T133329523052Z_C2_AutoScanning_controlled_api_s_r1\metadata.json,local
20260713T133337566384Z_C3_PolicyOnly_controlled_api_s_r1,C3_PolicyOnly,controlled_api_s,controlled_multi_layer,1,failed,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T133337566384Z_C3_PolicyOnly_controlled_api_s_r1\metadata.json,local
20260713T133346179524Z_C4_AgentsOnly_controlled_api_s_r1,C4_AgentsOnly,controlled_api_s,controlled_multi_layer,1,success,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T133346179524Z_C4_AgentsOnly_controlled_api_s_r1\metadata.json,local
