comparison,lhs,rhs,metric,n_pairs,mean_delta,median_delta,min_delta,max_delta
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,pipeline_time_seconds,72,54.35675811805575,0.06387790001463145,-8.36714500002563,3898.9359677999746
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,finding_count_residual,72,-0.2222222222222222,0.0,-16.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,recall,72,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,precision,72,0.013071895424836602,0.0,0.0,0.9411764705882353
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,auto_remediation_rate,72,0.0,0.0,0.0,0.0
C2_vs_C1_normalization,C2_AutoScanning,C1_NonBlockingScanning,pipeline_success,72,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,pipeline_time_seconds,72,-53.415937822225615,0.23778484997455962,-3888.2457690999727,15.737705500039738
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,finding_count_residual,72,0.2222222222222222,0.0,0.0,16.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,recall,72,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,precision,72,-0.013071895424836602,0.0,-0.9411764705882353,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,auto_remediation_rate,72,0.0,0.0,0.0,0.0
C3_vs_C2_policy_only,C3_PolicyOnly,C2_AutoScanning,pipeline_success,72,-0.375,0.0,-1.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,pipeline_time_seconds,72,-32.243905531945835,20.733271950070048,-3868.536539099994,39.95636460004607
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,finding_count_residual,72,-11.777777777777779,-1.0,-48.0,15.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,recall,72,0.0,0.0,0.0,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,precision,72,-0.013071895424836602,0.0,-0.9411764705882353,0.0
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,auto_remediation_rate,72,0.04765953256302521,0.058823529411764705,0.0,0.078125
C4_vs_C2_agents_only,C4_AgentsOnly,C2_AutoScanning,pipeline_success,72,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,pipeline_time_seconds,72,-0.42440161111395963,0.03800509998109192,-22.213322199997492,28.28319400001783
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,finding_count_residual,72,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,recall,72,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,precision,72,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,auto_remediation_rate,72,0.0,0.0,0.0,0.0
C5_vs_C4_policy_after_agents,C5_SecFlowOps,C4_AgentsOnly,pipeline_success,72,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,pipeline_time_seconds,72,20.747630679165823,20.34797649999382,-2.504092200018931,59.36322180001298
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,finding_count_residual,72,-12.0,-1.0,-48.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,recall,72,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,precision,72,0.0,0.0,0.0,0.0
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,auto_remediation_rate,72,0.04765953256302521,0.058823529411764705,0.0,0.078125
C5_vs_C3_agents_before_policy,C5_SecFlowOps,C3_PolicyOnly,pipeline_success,72,0.375,0.0,0.0,1.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,pipeline_time_seconds,72,43.5015763611114,41.142635300027905,37.8326345999958,79.6202992000035
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,finding_count_residual,72,16.0,16.0,16.0,16.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,recall,72,0.7946428571428571,1.0,0.0,1.0
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,precision,72,0.11127013305322128,0.058823529411764705,0.0,0.5
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,auto_remediation_rate,72,0.04765953256302521,0.058823529411764705,0.0,0.078125
C5_vs_C0_full_over_build,C5_SecFlowOps,C0_BuildOnly,pipeline_success,72,0.0,0.0,0.0,0.0
