configuration,metric,n,mean,median,bootstrap_ci95_low,bootstrap_ci95_high,note
C0_BuildOnly,pipeline_time_seconds,15,0.2463282599967594,0.20296670001698658,0.204642139992211,0.29542399999530367,
C0_BuildOnly,recall,15,0.0,0.0,0.0,0.0,
C0_BuildOnly,precision,15,0.0,0.0,0.0,0.0,
C0_BuildOnly,auto_remediation_rate,15,0.0,0.0,0.0,0.0,
C0_BuildOnly,mttr_seconds,15,0.0,0.0,0.0,0.0,
C1_NonBlockingScanning,pipeline_time_seconds,15,9.180856180000895,8.51643860002514,8.507376906671562,10.068348446663004,
C1_NonBlockingScanning,recall,15,1.0,1.0,1.0,1.0,
C1_NonBlockingScanning,precision,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,
C1_NonBlockingScanning,auto_remediation_rate,15,0.0,0.0,0.0,0.0,
C1_NonBlockingScanning,mttr_seconds,15,0.0,0.0,0.0,0.0,
C2_AutoScanning,pipeline_time_seconds,15,9.322681360001054,8.904143300023861,8.573755860006592,10.177568126667756,
C2_AutoScanning,recall,15,1.0,1.0,1.0,1.0,
C2_AutoScanning,precision,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,
C2_AutoScanning,auto_remediation_rate,15,0.0,0.0,0.0,0.0,
C2_AutoScanning,mttr_seconds,15,0.0,0.0,0.0,0.0,
C3_PolicyOnly,pipeline_time_seconds,15,9.345072386673808,9.2334039999987,8.86698887333817,9.846622173344562,
C3_PolicyOnly,recall,15,1.0,1.0,1.0,1.0,
C3_PolicyOnly,precision,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,
C3_PolicyOnly,auto_remediation_rate,15,0.0,0.0,0.0,0.0,
C3_PolicyOnly,mttr_seconds,15,0.0,0.0,0.0,0.0,
C4_AgentsOnly,pipeline_time_seconds,15,17.75896838666328,16.986560699995607,16.920308873329002,18.641780840000138,
C4_AgentsOnly,recall,15,1.0,1.0,1.0,1.0,
C4_AgentsOnly,precision,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,
C4_AgentsOnly,auto_remediation_rate,15,0.078125,0.078125,0.078125,0.078125,
C4_AgentsOnly,mttr_seconds,15,0.29646453333333334,0.275175,0.26019813333333336,0.33601539999999996,
C5_SecFlowOps,pipeline_time_seconds,15,18.121555433340838,17.41109539999161,17.22853552667269,19.026298233346704,
C5_SecFlowOps,recall,15,1.0,1.0,1.0,1.0,
C5_SecFlowOps,precision,15,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,
C5_SecFlowOps,auto_remediation_rate,15,0.078125,0.078125,0.078125,0.078125,
C5_SecFlowOps,mttr_seconds,15,0.28481586666666664,0.263723,0.2503264,0.3293856666666667,
