removal_probability,n_run_pairs,n_trials_per_pair,n_observations,allow_rate,deny_rate,mean_residual_findings,mean_residual_critical,mean_residual_high,mean_residual_secrets,mean_max_cvss
0.0,72,200,14400,0.625,0.375,28.0,1.75,6.75,0.25,8.637500000000577
0.1,72,200,14400,0.6379861111111111,0.36201388888888886,26.80263888888889,1.5724305555555556,6.277847222222222,0.2234722222222222,8.61802083333391
0.2,72,200,14400,0.6502777777777777,0.34972222222222227,25.58701388888889,1.4001388888888888,5.794583333333334,0.2,8.599583333333909
0.25,72,200,14400,0.6575,0.3425,24.980763888888887,1.3038888888888889,5.560416666666667,0.18777777777777777,8.588319444445021
0.3,72,200,14400,0.6629166666666667,0.3370833333333333,24.407847222222223,1.2272222222222222,5.312916666666666,0.1770138888888889,8.579979166667242
0.4,72,200,14400,0.6758333333333333,0.3241666666666667,23.216875,1.062638888888889,4.851041666666666,0.15020833333333333,8.559465277778353
0.5,72,200,14400,0.6873611111111111,0.3126388888888889,22.01826388888889,0.8834027777777778,4.380277777777778,0.12513888888888888,8.536381944445017
0.6,72,200,14400,0.6993055555555555,0.3006944444444445,20.809583333333332,0.7013194444444445,3.900625,0.10173611111111111,8.505534722222787
0.7,72,200,14400,0.7111111111111111,0.28888888888888886,19.620486111111113,0.5280555555555555,3.437291666666667,0.07736111111111112,8.459423611111651
0.75,72,200,14400,0.7216666666666667,0.2783333333333333,18.982847222222222,0.4323611111111111,3.1797916666666666,0.06090277777777778,8.416493055556074
0.8,72,200,14400,0.7316666666666667,0.2683333333333333,18.396180555555556,0.3420138888888889,2.9449305555555556,0.04951388888888889,8.373305555556044
0.9,72,200,14400,0.7988888888888889,0.20111111111111113,17.191944444444445,0.17090277777777776,2.472847222222222,0.025555555555555557,8.23611111111145
1.0,72,200,14400,1.0,0.0,16.0,0.0,2.0,0.0,8.0
