configuration,repo,n_runs,mean_initial_reviewed_true_positive,median_initial_reviewed_true_positive,mean_residual_reviewed_true_positive,median_residual_reviewed_true_positive,mean_resolved_reviewed_true_positive,median_resolved_reviewed_true_positive,mean_reviewed_resolution_rate,median_reviewed_resolution_rate,mean_initial_adjudicated_precision,median_initial_adjudicated_precision,n_initial_adjudicated_precision_runs,mean_residual_adjudicated_precision,median_residual_adjudicated_precision,n_residual_adjudicated_precision_runs,mean_residual_reviewed_critical,median_residual_reviewed_critical,mean_residual_reviewed_high,median_residual_reviewed_high,mean_residual_reviewed_secret,median_residual_reviewed_secret
C1_NonBlockingScanning,external_dvna,3,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0
C1_NonBlockingScanning,external_express,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C1_NonBlockingScanning,external_flask,3,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0
C1_NonBlockingScanning,external_nodegoat,3,78.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,10.0,10.0,40.0,40.0,1.0,1.0
C1_NonBlockingScanning,external_requests,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,external_dvna,3,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0
C2_AutoScanning,external_express,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C2_AutoScanning,external_flask,3,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0
C2_AutoScanning,external_nodegoat,3,78.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,10.0,10.0,40.0,40.0,1.0,1.0
C2_AutoScanning,external_requests,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C3_PolicyOnly,external_dvna,3,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0
C3_PolicyOnly,external_express,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C3_PolicyOnly,external_flask,3,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0
C3_PolicyOnly,external_nodegoat,3,78.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0,1.0,3,10.0,10.0,40.0,40.0,1.0,1.0
C3_PolicyOnly,external_requests,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C4_AgentsOnly,external_dvna,3,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C4_AgentsOnly,external_express,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C4_AgentsOnly,external_flask,3,13.0,13.0,0.0,0.0,13.0,13.0,1.0,1.0,1.0,1.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C4_AgentsOnly,external_nodegoat,3,78.0,78.0,77.0,77.0,1.0,1.0,0.01282051282051282,0.01282051282051282,1.0,1.0,3,1.0,1.0,3,10.0,10.0,39.0,39.0,0.0,0.0
C4_AgentsOnly,external_requests,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C5_SecFlowOps,external_dvna,3,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C5_SecFlowOps,external_express,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C5_SecFlowOps,external_flask,3,13.0,13.0,0.0,0.0,13.0,13.0,1.0,1.0,1.0,1.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C5_SecFlowOps,external_nodegoat,3,78.0,78.0,77.0,77.0,1.0,1.0,0.01282051282051282,0.01282051282051282,1.0,1.0,3,1.0,1.0,3,10.0,10.0,39.0,39.0,0.0,0.0
C5_SecFlowOps,external_requests,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
